Year,Australian,Airline,InFlights,OutFlights,InSeats,OutSeats,Total Flights
2017,Sydney,Sichuan Airlines,8,8,2163,2163,16.00
2017,Sydney,Singapore Airlines,120,120,42958,42958,240.00
2017,Sydney,Thai Airways International,48,47,17989,17614,95.00
2017,Sydney,United Airlines,60,57,15120,14364,117.00
2017,Sydney,Vietnam Airlines,43,43,11893,11893,86.00
2017,Sydney,Virgin Australia,198,198,40038,40038,396.00
2017,Sydney,Virgin Samoa,13,12,2288,2112,25.00
2017,Sydney,Xiamen Airlines,22,22,5192,5192,44.00
2017,Townsville,Air Niugini,8,8,728,728,16.00
2017,Townsville,Jetstar,13,13,2340,2340,26.00
2017,Adelaide,Air New Zealand,19,19,3070,3059,38.00
2017,Adelaide,Cathay Pacific Airways,19,18,4780,4529,37.00
2017,Adelaide,China Southern Airlines,13,13,2808,2808,26.00
2017,Adelaide,Emirates,31,31,10976,10976,62.00
2017,Adelaide,Jetstar,31,31,5580,5580,62.00
2017,Adelaide,Malaysia Airlines,17,17,4896,4896,34.00
2017,Adelaide,Qatar Airways,22,22,6226,6226,44.00
2017,Adelaide,Singapore Airlines,31,31,8835,8835,62.00
2017,Brisbane,Air Caledonie,8,8,1264,1264,16.00
2017,Brisbane,Air Canada,31,31,7651,7797,62.00
2017,Brisbane,Air New Zealand,86,87,19428,19633,173.00
2017,Brisbane,Air Niugini,31,31,6117,6117,62.00
2017,Brisbane,Air Vanuatu,9,9,1530,1530,18.00
2017,Brisbane,Cathay Pacific Airways,46,46,12445,12445,92.00
2017,Brisbane,China Airlines,31,31,9398,9398,62.00
2017,Brisbane,China Eastern Airlines,18,18,4190,4190,36.00
2017,Brisbane,China Southern Airlines,31,30,8017,7759,61.00
2017,Brisbane,Emirates,93,93,41478,41478,186.00
2017,Brisbane,Etihad Airways,31,31,9269,9269,62.00
2017,Brisbane,Eva Air,19,19,4788,4788,38.00
2017,Brisbane,Fiji Airways,23,24,3802,3972,47.00
2017,Brisbane,Hawaiian Airlines,13,13,3601,3601,26.00
2017,Brisbane,Jetstar,18,18,6030,6030,36.00
2017,Brisbane,Korean Air,17,17,4539,4539,34.00
2017,Brisbane,Malindo Air,31,31,5022,5022,62.00
2017,Brisbane,Nauru Airlines,13,13,1664,1664,26.00
2017,Brisbane,Philippine Airlines,17,17,2996,2996,34.00
2017,Brisbane,Qantas Airways,236,237,56526,56793,473.00
2017,Brisbane,Singapore Airlines,99,99,27667,27667,198.00
2017,Brisbane,Solomon Airlines,18,19,2448,2584,37.00
2017,Brisbane,Thai Airways International,31,31,7905,7905,62.00
2017,Brisbane,Virgin Australia,315,313,59787,59266,628.00
2017,Brisbane,Virgin Samoa,4,4,704,704,8.00
2017,Cairns,Air New Zealand,9,9,1460,1464,18.00
2017,Cairns,Air Niugini,58,58,5133,5158,116.00
2017,Cairns,Cathay Pacific Airways,15,15,3765,3765,30.00
2017,Cairns,Hong Kong Airlines,13,14,3796,4088,27.00
2017,Cairns,Jetstar,60,59,17310,17130,119.00
2017,Cairns,Philippine Airlines,36,36,5664,5664,72.00
2017,Cairns,Silk Air,13,13,2106,2106,26.00
2017,Canberra,Singapore Airlines,35,35,9310,9310,70.00
2017,Darwin,Indonesia AirAsia,18,18,3240,3240,36.00
2017,Darwin,Jetstar,18,17,3240,3060,35.00
2017,Darwin,Jetstar Asia,19,19,3420,3420,38.00
2017,Darwin,Malaysia Airlines,10,11,1590,1733,21.00
2017,Darwin,Philippine Airlines,17,17,2996,2996,34.00
2017,Darwin,Silk Air,16,16,2592,2592,32.00
2017,Gold Coast,Air New Zealand,32,32,5271,5260,64.00
2017,Gold Coast,AirAsia X,80,80,30160,30160,160.00
2017,Gold Coast,Hong Kong Airlines,13,14,3796,4088,27.00
2017,Gold Coast,Jetstar,84,84,18220,18220,168.00
2017,Gold Coast,Scoot,14,15,4808,5137,29.00
2017,Gold Coast,Virgin Australia,30,30,5268,5268,60.00
2017,Melbourne,Air Caledonie,8,9,1324,1470,17.00
2017,Melbourne,Air China,28,28,6761,6761,56.00
2017,Melbourne,Air India,13,13,3328,3328,26.00
2017,Melbourne,Air New Zealand,144,144,32646,32726,288.00
2017,Melbourne,AirAsia X,62,62,23374,23374,124.00
2017,Melbourne,Beijing Capital Airlines,13,13,2886,2886,26.00
2017,Melbourne,Cathay Pacific Airways,93,93,27001,27001,186.00
2017,Melbourne,China Airlines,11,11,3300,3300,22.00
2017,Melbourne,China Eastern Airlines,39,39,8970,8970,78.00
2017,Melbourne,China Southern Airlines,62,62,16988,16988,124.00
2017,Melbourne,Emirates,123,123,56840,56840,246.00
2017,Melbourne,Etihad Airways,62,62,25544,25544,124.00
2017,Melbourne,Fiji Airways,26,27,4349,4510,53.00
2017,Melbourne,Garuda Indonesia,39,39,9505,9505,78.00
2017,Melbourne,Hainan Airlines,18,18,4500,4500,36.00
2017,Melbourne,Jetstar,205,208,57825,58830,413.00
2017,Melbourne,Malaysia Airlines,62,62,17856,17850,124.00
2017,Melbourne,Philippine Airlines,13,13,4602,4602,26.00
2017,Melbourne,Qantas Airways,269,271,75200,76240,540.00
2017,Melbourne,Qatar Airways,31,31,11098,11098,62.00
2017,Melbourne,Royal Brunei Airlines,31,31,7874,7874,62.00
2017,Melbourne,Scoot,21,21,6939,6939,42.00
2017,Melbourne,Sichuan Airlines,11,11,2753,2753,22.00
2017,Melbourne,Singapore Airlines,124,124,32644,32644,248.00
2017,Melbourne,Thai Airways International,62,62,19560,19560,124.00
2017,Melbourne,United Airlines,31,31,7812,7812,62.00
2017,Melbourne,Vietnam Airlines,24,24,7464,7464,48.00
2017,Melbourne,Virgin Australia,101,102,21320,21496,203.00
2017,Melbourne,Xiamen Airlines,8,9,1930,2165,17.00
2017,Norfolk Island,Air New Zealand,3,3,497,497,6.00
2017,Perth,Air Mauritius,9,9,2475,2475,18.00
2017,Perth,Air New Zealand,27,27,8154,8154,54.00
2017,Perth,AirAsia X,62,62,23374,23374,124.00
2017,Perth,Cathay Pacific Airways,40,40,10040,10040,80.00
2017,Perth,China Southern Airlines,17,17,3706,3706,34.00
2017,Perth,Emirates,62,62,23649,23649,124.00
2017,Perth,Etihad Airways,31,31,9269,9269,62.00
2017,Perth,Garuda Indonesia,42,42,8244,8244,84.00
2017,Perth,Indonesia AirAsia,93,93,16740,16740,186.00
2017,Perth,Jetstar,92,92,16560,16560,184.00
2017,Perth,Jetstar Asia,54,54,9720,9720,108.00
2017,Perth,Malaysia Airlines,35,35,6855,7104,70.00
2017,Perth,Malindo Air,44,44,7218,7218,88.00
2017,Perth,Qantas Airways,31,31,5286,5296,62.00
2017,Perth,Qatar Airways,31,31,11098,11098,62.00
2017,Perth,Scoot,27,27,10125,10125,54.00
2017,Perth,Singapore Airlines,122,122,33747,33747,244.00
2017,Perth,South African Airways,29,29,7451,7515,58.00
2017,Perth,Thai Airways International,31,31,8184,8184,62.00
2017,Port Hedland,Virgin Australia,4,4,704,704,8.00
2017,Sydney,Air Caledonie,15,14,3292,3142,29.00
2017,Sydney,Air Canada,31,31,9300,9300,62.00
2017,Sydney,Air China,48,48,12217,12217,96.00
2017,Sydney,Air India,18,18,4608,4608,36.00
2017,Sydney,Air New Zealand,216,216,45349,45499,432.00
2017,Sydney,Air Niugini,13,14,1795,1917,27.00
2017,Sydney,Air Vanuatu,18,18,3060,3060,36.00
2017,Sydney,AirAsia X,57,57,21489,21489,114.00
