Year,Australian,International,InFlightsExc,InFlightsAll,OutFlightsExc,OutFlightsAll,InSeatsMin,InSeatsMax,OutSeatsMin,OutSeatsMax,Lat  Aus,Lon Aus,Lat International,Lon International
2003,Melbourne,London,0,69,0,62,0,25748,0,23029,-37.8140,144.9633,51.5074,-0.1278
2003,Melbourne,Los Angeles,31,61,29,61,11098,21508,10382,21508,-37.8140,144.9633,34.0522,-118.2437
2003,Melbourne,Manila,0,13,0,13,0,3926,0,3926,-37.8140,144.9633,14.5995,120.9842
2003,Melbourne,Mauritius,4,5,4,5,1176,1470,1176,1470,-37.8140,144.9633,-20.1669,57.5030
2003,Melbourne,Nadi,16,16,16,16,4598,4598,4598,4598,-37.8140,144.9633,-17.7768,177.4350
2003,Melbourne,Nauru,0,4,0,4,0,440,0,440,-37.8140,144.9633,-0.5228,166.9315
2003,Melbourne,New York,0,30,0,30,0,10410,0,10410,-37.8140,144.9633,40.7128,-74.0060
2003,Melbourne,Palmerston,10,10,10,10,1312,1312,1420,1420,-37.8140,144.9633,-40.3552,175.6110
2003,Melbourne,Phuket,0,0,0,13,0,0,0,5265,-37.8140,144.9633,7.8804,98.3923
2003,Melbourne,Shanghai,0,15,0,15,0,4864,0,4864,-37.8140,144.9633,31.2304,121.4737
2003,Melbourne,Singapore,70,163,71,169,24841,59602,25180,61056,-37.8140,144.9633,1.3521,103.8198
2003,Melbourne,Tokyo,30,30,19,31,6811,6811,4313,7037,-37.8140,144.9633,35.6895,139.6917
2003,Melbourne,Vienna,0,8,0,8,0,2752,0,2752,-37.8140,144.9633,48.2082,16.3738
2003,Melbourne,Wellington,53,53,53,53,6084,6084,6175,6175,-37.8140,144.9633,-41.2865,174.7762
2003,Norfolk Island,Auckland,9,9,9,9,1224,1224,1224,1224,-29.0408,167.9583,-36.8485,174.7633
2003,Perth,Auckland,18,18,17,17,4144,4144,3942,3942,-31.9522,115.8614,-36.8485,174.7633
2003,Perth,Bandar Seri Begawan,14,14,13,13,2772,2772,2574,2574,-31.9522,115.8614,4.9031,114.9394
2003,Perth,Bangkok,18,18,9,17,5490,5490,2745,5185,-31.9522,115.8614,13.7563,100.5018
2003,Perth,Denpasar,66,66,66,66,10745,10745,10745,10745,-31.9522,115.8614,-8.6500,115.2167
2003,Perth,Dubai,31,31,31,31,9300,9300,9300,9300,-31.9522,115.8614,25.2048,55.2708
2003,Perth,Frankfurt,0,0,0,1,0,0,0,432,-31.9522,115.8614,50.1109,8.6821
2003,Perth,Hong Kong,13,13,13,13,4043,4043,4043,4043,-31.9522,115.8614,22.3193,114.1694
2003,Perth,Jakarta,13,13,13,13,2693,2693,2697,2697,-31.9522,115.8614,-6.2088,106.8456
2003,Perth,Johannesburg,25,26,25,25,5955,6387,6010,6010,-31.9522,115.8614,-26.2041,28.0473
2003,Perth,Kuala Lumpur,40,48,40,49,11184,13520,11194,13822,-31.9522,115.8614,3.1390,101.6869
2003,Perth,Kuching,0,8,0,9,0,2336,0,2628,-31.9522,115.8614,1.5533,110.3592
2003,Perth,Mauritius,4,5,4,5,819,1113,819,1113,-31.9522,115.8614,-20.1669,57.5030
2003,Perth,Paris,0,13,0,14,0,5616,0,6042,-31.9522,115.8614,48.8566,2.3522
2003,Perth,Phuket,0,0,0,8,0,0,0,2440,-31.9522,115.8614,7.8804,98.3923
2003,Perth,Singapore,129,142,128,142,38076,43692,37644,43686,-31.9522,115.8614,1.3521,103.8198
2003,Perth,Tokyo,14,14,13,13,3182,3182,2951,2951,-31.9522,115.8614,35.6895,139.6917
2003,Sydney,Auckland,297,423,298,424,62837,101491,63028,101849,-33.8688,151.2093,-36.8485,174.7633
2003,Sydney,Bahrain,0,31,0,31,0,8215,0,8215,-33.8688,151.2093,26.0667,50.5577
2003,Sydney,Bangkok,0,124,0,124,0,49135,0,49143,-33.8688,151.2093,13.7563,100.5018
2003,Sydney,Beijing,0,31,0,31,0,11155,0,11155,-33.8688,151.2093,39.9042,116.4074
